GEOid,Geographic Area Name,Population 20 to 24 years,Labor Force Participation Rate 20 to 24 years,Employed People
48001,"Anderson County, Texas",3502,61.1,2140
48003,"Andrews County, Texas",1193,68.7,820
48005,"Angelina County, Texas",5455,74.8,4080
48007,"Aransas County, Texas",1439,71.4,1027
48009,"Archer County, Texas",530,91.1,483
48011,"Armstrong County, Texas",65,75.4,49
48013,"Atascosa County, Texas",3130,76.1,2382
48015,"Austin County, Texas",1684,87.2,1468
48017,"Bailey County, Texas",637,69.1,440
48019,"Bandera County, Texas",1233,71.7,884
48021,"Bastrop County, Texas",5342,78.5,4193
48023,"Baylor County, Texas",265,82.6,219
48025,"Bee County, Texas",2915,53.4,1557
48027,"Bell County, Texas",30516,81.7,24932
48029,"Bexar County, Texas",145364,74.9,108878
48031,"Blanco County, Texas",435,83.9,365
48033,"Borden County, Texas",11,0,0
48035,"Bosque County, Texas",869,65.9,573
48037,"Bowie County, Texas",6000,71.2,4272
48039,"Brazoria County, Texas",21225,73.3,15558
48041,"Brazos County, Texas",43357,61,26448
48043,"Brewster County, Texas",499,71.5,357
48045,"Briscoe County, Texas",139,61.2,85
48047,"Brooks County, Texas",1034,69.4,718
48049,"Brown County, Texas",2286,64.7,1479
48051,"Burleson County, Texas",1067,61.3,654
48053,"Burnet County, Texas",2831,74.8,2118
48055,"Caldwell County, Texas",3264,64.4,2102
48057,"Calhoun County, Texas",1296,73.4,951
48059,"Callahan County, Texas",619,75.8,469
48061,"Cameron County, Texas",31365,65.3,20481
48063,"Camp County, Texas",779,86.1,671
48065,"Carson County, Texas",290,72.8,211
48067,"Cass County, Texas",1469,77.6,1140
48069,"Castro County, Texas",462,55.2,255
48071,"Chambers County, Texas",2542,75.7,1924
48073,"Cherokee County, Texas",3325,69.9,2324
48075,"Childress County, Texas",634,28.1,178
48077,"Clay County, Texas",527,70.4,371
48079,"Cochran County, Texas",149,56.4,84
48081,"Coke County, Texas",64,76.6,49
48083,"Coleman County, Texas",236,72.9,172
48085,"Collin County, Texas",55682,74.5,41483
48087,"Collingsworth County, Texas",199,95,189
48089,"Colorado County, Texas",1085,87.1,945
48091,"Comal County, Texas",7569,80.1,6063
48093,"Comanche County, Texas",497,89.7,446
48095,"Concho County, Texas",88,48.9,43
48097,"Cooke County, Texas",2488,86.2,2145
48099,"Coryell County, Texas",8124,81.9,6654
48101,"Cottle County, Texas",42,100,42
48103,"Crane County, Texas",222,86,191
48105,"Crockett County, Texas",140,99.3,139
48107,"Crosby County, Texas",309,72.2,223
48109,"Culberson County, Texas",123,86.2,106
48111,"Dallam County, Texas",278,73.7,205
48113,"Dallas County, Texas",183251,76.8,140737
48115,"Dawson County, Texas",1134,42.1,477
48117,"Deaf Smith County, Texas",1287,80.5,1036
48119,"Delta County, Texas",241,52.7,127
48121,"Denton County, Texas",54827,77.7,42601
48123,"DeWitt County, Texas",892,83.9,748
48125,"Dickens County, Texas",90,42.2,38
48127,"Dimmit County, Texas",528,51.9,274
48129,"Donley County, Texas",262,58,152
48131,"Duval County, Texas",990,65.2,645
