id,Geographic Area Name,Population 20 to 24 years
48001,"Anderson County, Texas",3502
48003,"Andrews County, Texas",1193
48005,"Angelina County, Texas",5455
48007,"Aransas County, Texas",1439
48009,"Archer County, Texas",530
48011,"Armstrong County, Texas",65
48013,"Atascosa County, Texas",3130
48015,"Austin County, Texas",1684
48017,"Bailey County, Texas",637
48019,"Bandera County, Texas",1233
48021,"Bastrop County, Texas",5342
48023,"Baylor County, Texas",265
48025,"Bee County, Texas",2915
48027,"Bell County, Texas",30516
48029,"Bexar County, Texas",145364
48031,"Blanco County, Texas",435
48033,"Borden County, Texas",11
48035,"Bosque County, Texas",869
48037,"Bowie County, Texas",6000
48039,"Brazoria County, Texas",21225
48041,"Brazos County, Texas",43357
48043,"Brewster County, Texas",499
48045,"Briscoe County, Texas",139
48047,"Brooks County, Texas",1034
48049,"Brown County, Texas",2286
48051,"Burleson County, Texas",1067
48053,"Burnet County, Texas",2831
48055,"Caldwell County, Texas",3264
48057,"Calhoun County, Texas",1296
48059,"Callahan County, Texas",619
48061,"Cameron County, Texas",31365
48063,"Camp County, Texas",779
48065,"Carson County, Texas",290
48067,"Cass County, Texas",1469
48069,"Castro County, Texas",462
48071,"Chambers County, Texas",2542
48073,"Cherokee County, Texas",3325
48075,"Childress County, Texas",634
48077,"Clay County, Texas",527
48079,"Cochran County, Texas",149
48081,"Coke County, Texas",64
48083,"Coleman County, Texas",236
48085,"Collin County, Texas",55682
48087,"Collingsworth County, Texas",199
48089,"Colorado County, Texas",1085
48091,"Comal County, Texas",7569
48093,"Comanche County, Texas",497
48095,"Concho County, Texas",88
48097,"Cooke County, Texas",2488
48099,"Coryell County, Texas",8124
48101,"Cottle County, Texas",42
48103,"Crane County, Texas",222
48105,"Crockett County, Texas",140
48107,"Crosby County, Texas",309
48109,"Culberson County, Texas",123
48111,"Dallam County, Texas",278
48113,"Dallas County, Texas",183251
48115,"Dawson County, Texas",1134
48117,"Deaf Smith County, Texas",1287
48119,"Delta County, Texas",241
48121,"Denton County, Texas",54827
48123,"DeWitt County, Texas",892
48125,"Dickens County, Texas",90
48127,"Dimmit County, Texas",528
48129,"Donley County, Texas",262
48131,"Duval County, Texas",990
48133,"Eastland County, Texas",1188
48135,"Ector County, Texas",12287
48137,"Edwards County, Texas",101
48139,"Ellis County, Texas",10839
